name,date,annee,mois,developer,genres,price,owners,owners_min,nb_avis,ratio_pos,petit_studio,fetes,succes_com,succes_critique,periode_etude,appid,free
Rag Doll Kung Fu,2005-10-12,2005,10,Mark Healey,Indie,6.83,20000-50000,20000,57,0.702,True,False,False,False,False,1002,False
Darwinia,2005-07-14,2005,7,Introversion Software,Indie;Strategy,8.2,500000-1000000,500000,630,0.749,True,False,True,False,False,1500,False
Uplink,2006-08-23,2006,8,Introversion Software,Indie;Strategy,7.97,500000-1000000,500000,1754,0.913,True,False,True,True,False,1510,False
DEFCON,2006-09-29,2006,9,Introversion Software,Indie;Strategy,8.2,500000-1000000,500000,2401,0.857,True,False,True,True,False,1520,False
Multiwinia,2008-09-19,2008,9,Introversion Software,Indie,8.2,500000-1000000,500000,443,0.831,True,False,True,True,False,1530,False
The Ship: Murder Party,2006-07-11,2006,7,Outerlight Ltd.,Action;Indie;RPG,0.0,1000000-2000000,1000000,5611,0.859,True,False,True,True,False,2400,True
Gumboy - Crazy Adventures™,2006-12-19,2006,12,"CINEMAX, s.r.o.",Casual;Indie,0.0,50000-100000,50000,98,0.531,True,True,True,False,False,2520,True
ThreadSpace: Hyperbol,2007-07-12,2007,7,Iocaine Studios,Action;Indie;Strategy,4.55,20000-50000,20000,40,0.775,True,False,False,False,False,2720,False
Poker Superstars II,2006-10-05,2006,10,Funkitron,Casual;Strategy;Indie,6.83,0-20000,0,9,0.444,True,False,False,False,False,4100,False
RoboBlitz,2006-11-07,2006,11,Naked Sky Entertainment,Action;Indie,6.83,20000-50000,20000,57,0.754,True,True,False,False,False,4300,False
Zen of Sudoku,2006-12-14,2006,12,Unknown Worlds Entertainment,Casual;Indie,0.0,0-20000,0,139,0.878,True,True,False,True,False,4900,True
Natural Selection 2,2012-10-30,2012,10,Unknown Worlds Entertainment,Action;Indie;Strategy,7.97,1000000-2000000,1000000,9870,0.848,True,False,True,True,False,4920,False
Shank,2010-10-25,2010,10,Klei Entertainment,Action;Indie,8.2,200000-500000,200000,1976,0.885,True,False,True,True,False,6120,False
